comparison,kind,metric,before_pct,after_pct,diff_pp,ci95_low_pp,ci95_high_pp,n_pairs,before_runs,after_runs
Qwen2.5 Baseline -> SFT unbalanced,paired_instance_bootstrap,orig_acc,80.17817371937639,100.0,19.82182628062361,16.258351893095767,23.608017817371937,449,,
Qwen2.5 Baseline -> SFT unbalanced,paired_instance_bootstrap,swap_acc,75.27839643652561,0.0,-75.27839643652561,-79.28730512249443,-71.26948775055679,449,,
Qwen2.5 Baseline -> SFT unbalanced,paired_instance_bootstrap,order_avg_acc,77.728285077951,50.0,-27.728285077951,-30.957683741648108,-24.387527839643653,449,,
Qwen2.5 Baseline -> SFT unbalanced,paired_instance_bootstrap,consistency,81.51447661469933,0.0,-81.51447661469933,-85.07795100222717,-77.9510022271715,449,,
Qwen2.5 Baseline -> SFT unbalanced,paired_instance_bootstrap,first_pos_rate,49.33184855233853,100.0,50.66815144766147,48.775055679287306,52.56124721603563,449,,
Qwen2.5 SFT unbalanced -> SFT balanced,paired_instance_bootstrap,orig_acc,100.0,91.31403118040089,-8.685968819599111,-11.358574610244988,-6.23608017817372,449,,
Qwen2.5 SFT unbalanced -> SFT balanced,paired_instance_bootstrap,swap_acc,0.0,89.086859688196,89.086859688196,86.19153674832963,91.75946547884188,449,,
Qwen2.5 SFT unbalanced -> SFT balanced,paired_instance_bootstrap,order_avg_acc,50.0,90.20044543429844,40.20044543429844,37.97327394209354,42.31625835189309,449,,
Qwen2.5 SFT unbalanced -> SFT balanced,paired_instance_bootstrap,consistency,0.0,87.08240534521158,87.08240534521158,83.96436525612472,90.20044543429844,449,,
Qwen2.5 SFT unbalanced -> SFT balanced,paired_instance_bootstrap,first_pos_rate,100.0,51.11358574610245,-48.88641425389755,-50.55679287305123,-47.216035634743875,449,,
Qwen2.5 Baseline -> SFT balanced,paired_instance_bootstrap,orig_acc,80.17817371937639,91.31403118040089,11.1358574610245,7.57238307349666,14.699331848552339,449,,
Qwen2.5 Baseline -> SFT balanced,paired_instance_bootstrap,swap_acc,75.27839643652561,89.086859688196,13.80846325167039,9.799554565701559,17.817371937639198,449,,
Qwen2.5 Baseline -> SFT balanced,paired_instance_bootstrap,order_avg_acc,77.728285077951,90.20044543429844,12.47216035634744,9.465478841870825,15.590200445434299,449,,
Qwen2.5 Baseline -> SFT balanced,paired_instance_bootstrap,consistency,81.51447661469933,87.08240534521158,5.56792873051225,1.1135857461024499,10.022271714922049,449,,
Qwen2.5 Baseline -> SFT balanced,paired_instance_bootstrap,first_pos_rate,49.33184855233853,51.11358574610245,1.7817371937639215,-0.4454342984409799,4.120267260579064,449,,
Qwen2.5 GRPO full unbalanced -> balanced,seed_mean_bootstrap,orig_acc,94.65478841870825,83.69710467706012,-10.957683741648117,-12.193763919821821,-9.899777282850774,,4,5
Qwen2.5 GRPO full unbalanced -> balanced,seed_mean_bootstrap,order_avg_acc,74.74944320712696,82.56124721603564,7.811804008908685,5.26712138084633,11.570155902004442,,4,5
Qwen2.5 GRPO full unbalanced -> balanced,seed_mean_bootstrap,consistency,58.74164810690423,84.00890868596882,25.267260579064587,19.85523385300668,34.36525612472161,,4,5
Qwen2.5 GRPO full unbalanced -> balanced,seed_mean_bootstrap,first_pos_rate,68.8195991091314,49.9554565701559,-18.864142538975496,-23.240534521158118,-16.013363028953233,,4,5
Qwen3 GRPO full unbalanced -> balanced,seed_mean_bootstrap,orig_acc,88.71566443949519,87.41648106904232,-1.299183370452861,-2.078693392724573,-0.5196733481811378,,3,2
Qwen3 GRPO full unbalanced -> balanced,seed_mean_bootstrap,order_avg_acc,81.25463994060877,81.45879732739421,0.20415738678544182,-0.40831477357089474,0.8166295471417895,,3,2
Qwen3 GRPO full unbalanced -> balanced,seed_mean_bootstrap,consistency,79.9554565701559,82.1826280623608,2.2271714922049046,1.1135857461024634,3.340757238307368,,3,2
Qwen3 GRPO full unbalanced -> balanced,seed_mean_bootstrap,first_pos_rate,55.642167780252414,54.73273942093542,-0.9094283593169994,-1.2806236080178168,-0.5567928730512262,,3,2
Mistral GRPO full unbalanced -> balanced,seed_mean_bootstrap,orig_acc,98.44097995545657,81.06904231625836,-17.371937639198208,-18.262806236080166,-16.481069042316253,,3,2
Mistral GRPO full unbalanced -> balanced,seed_mean_bootstrap,order_avg_acc,60.02227171492205,72.7728285077951,12.750556792873047,9.057164068299928,16.44394951744619,,3,2
Mistral GRPO full unbalanced -> balanced,seed_mean_bootstrap,consistency,23.01410541945063,68.26280623608018,45.248700816629544,40.38604305864885,50.11135857461024,,3,2
Mistral GRPO full unbalanced -> balanced,seed_mean_bootstrap,first_pos_rate,88.34446919079436,57.07126948775056,-31.273199703043797,-34.07572383073497,-28.470675575352622,,3,2
