model,learning_rate,learning_rate_value,reward,n_runs,n_samples,orig_acc_mean_pct,orig_acc_seed_std_pct,swap_acc_mean_pct,swap_acc_seed_std_pct,consistency_mean_pct,consistency_seed_std_pct,first_pos_rate_mean_pct,first_pos_rate_seed_std_pct,orig_acc_values_pct,consistency_values_pct,first_pos_rate_values_pct,source_paths,note
Qwen2.5-7B,baseline,,none,1,449,80.17817371937639,,75.27839643652561,,81.51447661469933,,49.33184855233853,,80.178174,81.514477,49.331849,results/baseline_qwen7b/eval_results.json,Untrained baseline.
Qwen2.5-7B,1e-6,1e-06,full,1,449,83.74164810690424,,76.16926503340757,,83.29621380846325,,51.00222717149221,,83.741648,83.296214,51.002227,results/EXP-009_full_lr1e6/eval/eval_results.json,Single-seed full-reward LR control.
Qwen2.5-7B,2e-6,2e-06,full,1,449,85.74610244988864,,73.2739420935412,,81.06904231625836,,54.342984409799556,,85.746102,81.069042,54.342984,results/EXP-009_full_lr2e6/eval/eval_results.json,Single-seed full-reward LR control.
Qwen2.5-7B,3e-6,3e-06,full,1,449,89.97772828507794,,70.15590200445433,,75.7238307349666,,58.240534521158125,,89.977728,75.723831,58.240535,results/EXP-009_full_lr3e6/eval/eval_results.json,Single-seed full-reward LR control.
Qwen2.5-7B,5e-6,5e-06,full,1,449,93.98663697104676,,57.23830734966593,,61.69265033407573,,67.37193763919822,,93.986637,61.692650,67.371938,results/EXP-009_full_composite/eval/eval_results.json,Standard full-reward seed used in the single-seed LR sweep.
Qwen2.5-7B,1e-5,1e-05,full,1,449,98.88641425389754,,36.97104677060133,,38.084632516703785,,80.51224944320712,,98.886414,38.084633,80.512249,results/EXP-009_full_lr1e5/eval/eval_results.json,Single-seed full-reward LR control.
Qwen3-8B,baseline,,none,1,449,85.96881959910914,,74.16481069042317,,80.40089086859689,,53.34075723830735,,85.968820,80.400891,53.340757,results/baseline_qwen3_8b/eval/eval_results.json,Untrained disable-thinking baseline.
Qwen3-8B,1e-6,1e-06,accuracy,1,449,89.086859688196,,76.16926503340757,,82.40534521158129,,55.345211581291764,,89.086860,82.405345,55.345212,results/GRPO_qwen3_8b_unbal_lr1e6/eval/eval_results.json,Single-seed accuracy-reward LR control.
Qwen3-8B,2e-6,2e-06,accuracy,1,449,87.75055679287304,,75.27839643652561,,81.51447661469933,,54.78841870824054,,87.750557,81.514477,54.788419,results/GRPO_qwen3_8b_unbal_lr2e6/eval/eval_results.json,Single-seed accuracy-reward LR control.
Qwen3-8B,3e-6,3e-06,accuracy,1,449,87.75055679287304,,75.50111358574611,,82.62806236080178,,54.78841870824054,,87.750557,82.628062,54.788419,results/GRPO_qwen3_8b_unbal_lr3e6/eval/eval_results.json,Single-seed accuracy-reward LR control.
Qwen3-8B,5e-6,5e-06,accuracy,1,449,88.41870824053451,,73.4966592427617,,78.84187082405344,,55.233853006681514,,88.418708,78.841871,55.233853,results/GRPO_qwen3_8b_unbalanced/eval/eval_results.json,Seed-42 standard accuracy-reward run; multi-seed mean is reported in the cross-model table.
Qwen3-8B,1e-5,1e-05,accuracy,1,449,90.20044543429844,,72.16035634743875,,78.39643652561247,,58.01781737193764,,90.200445,78.396437,58.017817,results/GRPO_qwen3_8b_unbal_lr1e5/eval/eval_results.json,Single-seed accuracy-reward LR control.
